SERVICEORDERDATE,SERVICECODEDESCRIPTION,LATITUDE,LONGITUDE,ZIPCODE
2015-02-23,Parking Enforcement,38.9236378406,-77.040789312,20009.0
2015-02-23,Street Cleaning,38.9085650699,-77.0487974421,
2015-02-23,Trash Collection - Missed,38.8930856985,-76.9871845432,20002.0
2015-02-23,Street Cleaning,38.8828304085,-76.9466765664,
2015-02-23,Parking Meter Repair,38.9040574626,-77.0270486391,
2015-02-23,Trash Collection - Missed,38.9504429981,-77.0700914122,20008.0
2015-02-23,Parking Meter Repair,38.8867698228,-77.0013095657,
2015-02-23,Bulk Collection,38.9330183812,-77.023380429,20010.0
2015-02-23,Trash Collection - Missed,38.9641895682,-77.0733883496,20015.0
2015-02-23,Street Repair,38.8935835719,-77.0152271426,
2015-02-23,Recycling Collection - Missed,38.8807995639,-76.9859127663,20003.0
2015-02-23,Trash Collection - Missed,38.8940624771,-76.9959186678,20002.0
2015-02-23,Bulk Collection,38.9066859053,-76.9891338904,20002.0
2015-02-23,Recycling Collection - Missed,38.8937471549,-76.9847046968,20002.0
2015-02-23,Parking Meter Repair,38.8995774077,-77.047744473,
2015-02-23,Recycling Collection - Missed,38.8937471549,-76.9847046968,20002.0
2015-02-23,Trash Collection - Missed,38.9823291024,-77.0281024312,20012.0
2015-02-23,Trash Collection - Missed,38.8949370097,-76.9849322227,20002.0
2015-02-23,Trash Collection - Missed,38.8978520066,-77.0003443368,20002.0
2015-02-23,Pothole,38.9334319663,-77.0507629944,
2015-02-23,Recycling Collection - Missed,38.8807330305,-76.9997399942,20003.0
2015-02-23,Recycling Collection - Missed,38.8801136532,-76.9813306848,20003.0
2015-02-23,Illegal Dumping,38.8856744678,-76.9977061197,20003.0
2015-02-23,Trash Collection - Missed,38.880964785,-76.9832386759,20003.0
2015-02-23,Recycling Collection - Missed,38.880964785,-76.9832386759,20003.0
2015-02-23,Trash Collection - Missed,38.9592131046,-77.0832537915,20015.0
2015-02-23,Parking Enforcement,38.9063450013,-77.0293493551,20005.0
2015-02-23,Trash Collection - Missed,38.9035680558,-76.9930874651,20002.0
2015-02-23,Parking Meter Repair,38.9063268918,-77.0478242351,
2015-02-23,Recycling Collection - Missed,38.8877601813,-76.9917766218,20003.0
2015-02-23,DMV - Ticket Payment Dispute,38.9083522967,-76.9839061417,20002.0
2015-02-23,Recycling Collection - Missed,38.8814297367,-77.0008094143,20003.0
2015-02-23,Trash Collection - Missed,38.9588494488,-77.0800172682,20015.0
2015-02-23,Trash Collection - Missed,38.9022630458,-76.9955649635,20002.0
2015-02-23,Parking Enforcement,38.9050624944,-77.0593055828,20007.0
2015-02-23,Parking Enforcement,38.923307561,-77.0727546868,20007.0
2015-02-23,Trash Collection - Missed,38.8785450237,-76.9844134987,20003.0
2015-02-23,TRU Report,38.8922595033,-76.928897434,20019.0
2015-02-23,Parking Enforcement,38.9562169727,-77.0296946651,
2015-02-23,Parking Meter Repair,38.9025263154,-77.0499773517,
2015-02-23,Trash Collection - Missed,38.902263859,-76.9956306762,20002.0
2015-02-23,Recycling Collection - Missed,38.8785450237,-76.9844134987,20003.0
2015-02-23,Parking Meter Repair,38.9553277652,-77.0829500659,
2015-02-23,Parking Meter Repair,38.9553277652,-77.0829500659,
2015-02-23,Sanitation Enforcement,38.9312585696,-77.0390436165,20010.0
2015-02-23,Trash Collection - Missed,38.8877896946,-76.9873594251,20003.0
2015-02-23,Recycling Collection - Missed,38.8817741509,-76.9812145369,20003.0
2015-02-23,Pothole,38.8955919438,-77.0505684083,20372.0
2015-02-23,Pothole,38.892373123,-76.9195865305,
2015-02-23,Recycling Collection - Missed,38.8884946285,-76.9975813141,20003.0
2015-02-23,Bulk Collection,38.9295607511,-76.9733828227,20018.0
2015-02-23,Recycling Collection - Missed,38.9512308996,-77.0726850112,20016.0
2015-02-23,Trash Collection - Missed,38.9801321214,-77.0275834821,20012.0
2015-02-23,Trash Collection - Missed,38.8769404766,-76.9618322303,20019.0
2015-02-23,Sanitation Enforcement,38.9427565375,-77.0246543301,20011.0
2015-02-23,Snow/Ice Removal,38.8945914154,-76.9765368339,20002.0
2015-02-23,Streetlight Repair Investigation,38.9258925461,-76.9855846418,20018.0
2015-02-23,Trash Collection - Missed,38.9018530891,-76.995937244,20002.0
2015-02-23,Trash Collection - Missed,38.9633788374,-77.0696878268,20015.0
2015-02-23,Streetlight Repair Investigation,38.9684428933,-77.0237375364,20012.0
2015-02-23,Recycling Collection - Missed,38.8782241351,-76.9830511217,20003.0
2015-02-23,Hypothermia Shelter Information,38.9745891478,-77.0661157691,
2015-02-23,Pothole,38.9006634952,-76.9205491884,
2015-02-23,Bulk Collection,38.8981774104,-76.9889848626,20002.0
2015-02-23,Trash Collection - Missed,38.8952487757,-76.9841486377,20002.0
2015-02-23,Trash Collection - Missed,38.8888833569,-77.0013768281,20003.0
2015-02-23,Sign Removal Investigation,38.8600283821,-76.9898671671,
2015-02-23,Trash Collection - Missed,38.8922472147,-76.9857606556,20002.0
2015-02-23,Alley Cleaning,38.9003144838,-76.9393889864,20019.0
2015-02-23,Trash Collection - Missed,38.8975264445,-76.9996918621,20002.0
2015-02-23,Parking Enforcement,38.9464599466,-77.07730066,20016.0
2015-02-23,Parking Enforcement,38.9617793043,-77.074410459,20015.0
2015-02-23,Trash Collection - Missed,38.8938761729,-76.9868516108,
2015-02-23,Trash Collection - Missed,38.9712294276,-77.0633650451,20015.0
2015-02-23,Trash Collection - Missed,38.9331667843,-77.026975141,20010.0
2015-02-23,FEMS - Smoke Alarm Application,38.8981774104,-76.9889848626,20002.0
2015-02-23,Streetlight Repair Investigation,38.9109357758,-77.0393525632,20009.0
2015-02-23,Pothole,38.8985053204,-76.9881229823,20002.0
2015-02-23,Trash Collection - Missed,38.8581200789,-76.9585809231,20020.0
2015-02-23,Parking Enforcement,38.9291257689,-77.023210474,20010.0
2015-02-23,Snow/Ice Removal,38.9526346896,-76.9968180612,
2015-02-23,Pothole,38.8985053204,-76.9881229823,20002.0
2015-02-23,Recycling Collection - Missed,38.9316659001,-77.0345453859,20010.0
2015-02-23,Bulk Collection,38.8669287658,-76.9475616926,20020.0
2015-02-23,Trash Collection - Missed,38.893083633,-76.988096681,20002.0
2015-02-23,Snow/Ice Removal,38.9536619311,-76.9981522547,
2015-02-23,Parking Meter Repair,38.9242097399,-77.0526038997,
2015-02-23,DMV - Driver's License/ID Issues,38.9728365122,-77.0614804954,
2015-02-23,Abandoned Vehicle - On Public Property,38.9149568144,-77.0118837931,20001.0
2015-02-23,Snow/Ice Removal,38.9149294504,-77.0431569846,20009.0
2015-02-23,Parking Meter Repair,38.8954334504,-77.0270472947,
2015-02-23,Pothole,38.8900842621,-76.9189554934,20019.0
2015-02-23,Trash Collection - Missed,38.9680885043,-77.0285901167,20012.0
2015-02-23,Bulk Collection,38.9313011247,-77.0290205498,20010.0
2015-02-23,Snow/Ice Removal,38.9200501811,-77.0012581948,20002.0
2015-02-23,Streetlight Repair Investigation,38.9549305649,-77.0315203331,20011.0
2015-02-23,Trash Collection - Missed,38.8888838098,-76.9988540456,20003.0
2015-02-23,Trash Collection - Missed,38.8954910047,-77.0003118179,20002.0
2015-02-23,Sanitation Enforcement,38.9252826677,-77.0009148558,20002.0
2015-02-23,Trash Collection - Missed,38.8801564351,-76.9843420375,20003.0
2015-02-23,Snow/Ice Removal,38.9603993084,-77.0800342383,20015.0
2015-02-23,Recycling Collection - Missed,38.8801564351,-76.9843420375,20003.0
2015-02-23,Trash Collection - Missed,38.893187229,-76.9880935514,20002.0
2015-02-23,Recycling Collection - Missed,38.8931384913,-76.9880702748,20002.0
